x,y,z,phi_m,Ax,Ay,Az,Bx,By,Bz
0.76989658, 0, 0.4445, -0.00017538332, 0.015467772, -3.1478116e-05, 0.014902491, -0.0018142639, 0.19004605, 0.0081479756
0.76939658, 0, 0.44536603, -0.00018329744, 0.015443237, -3.1521443e-05, 0.014857641, -0.0018096681, 0.18708048, 0.0080365013
0.76889658, 0, 0.44623205, -0.00019111243, 0.01541755, -3.1557503e-05, 0.014812125, -0.0018043315, 0.18415694, 0.0079248142
0.76839658, 0, 0.44709808, -0.00019882781, 0.015390746, -3.1586332e-05, 0.014765961, -0.0017982722, 0.18127535, 0.0078130666
0.76789658, 0, 0.4479641, -0.00020644323, 0.015362862, -3.1607974e-05, 0.014719166, -0.0017915097, 0.17843554, 0.0077014012
0.76739658, 0, 0.44883013, -0.00021395849, 0.015333936, -3.1622478e-05, 0.014671757, -0.0017840648, 0.17563731, 0.0075899508
0.76689658, 0, 0.44969615, -0.00022137347, 0.015304003, -3.1629903e-05, 0.01462375, -0.0017759594, 0.17288042, 0.0074788391
0.76639658, 0, 0.45056218, -0.0002286882, 0.015273097, -3.1630312e-05, 0.014575164, -0.0017672165, 0.17016456, 0.0073681802
0.76589658, 0, 0.4514282, -0.00023590281, 0.015241255, -3.1623776e-05, 0.014526015, -0.0017578595, 0.1674894, 0.0072580792
0.76539658, 0, 0.45229423, -0.00024301751, 0.015208508, -3.1610371e-05, 0.014476321, -0.0017479121, 0.16485458, 0.0071486325
0.76489658, 0, 0.45316025, -0.00025003263, 0.015174892, -3.1590179e-05, 0.014426099, -0.0017373985, 0.16225968, 0.007039928
0.76439658, 0, 0.45402628, -0.00025694857, 0.015140437, -3.1563287e-05, 0.014375365, -0.0017263428, 0.15970427, 0.0069320453
0.76389658, 0, 0.4548923, -0.0002637658, 0.015105177, -3.1529788e-05, 0.014324137, -0.0017147691, 0.1571879, 0.0068250562
0.76339658, 0, 0.45575833, -0.00027048488, 0.015069141, -3.1489778e-05, 0.014272432, -0.001702701, 0.15471008, 0.0067190249
0.76289658, 0, 0.45662436, -0.00027710641, 0.015032359, -3.1443359e-05, 0.014220267, -0.0016901622, 0.15227031, 0.0066140087
0.76239658, 0, 0.45749038, -0.00028363107, 0.014994862, -3.1390637e-05, 0.014167658, -0.0016771758, 0.14986806, 0.006510058
0.76189658, 0, 0.45835641, -0.00029005959, 0.014956678, -3.133172e-05, 0.014114622, -0.0016637644, 0.14750281, 0.0064072166
0.76139658, 0, 0.45922243, -0.00029639272, 0.014917835, -3.126672e-05, 0.014061175, -0.00164995, 0.145174, 0.0063055226
0.76089658, 0, 0.46008846, -0.0003026313, 0.014878359, -3.1195754e-05, 0.014007334, -0.001635754, 0.14288107, 0.0062050082
0.76039658, 0, 0.46095448, -0.00030877616, 0.014838277, -3.111894e-05, 0.013953114, -0.0016211972, 0.14062346, 0.0061057002
0.75989658, 0, 0.46182051, -0.00031482818, 0.014797615, -3.1036399e-05, 0.013898532, -0.0016062996, 0.13840059, 0.0060076205
0.75939658, 0, 0.46268653, -0.00032078827, 0.014756396, -3.0948255e-05, 0.013843603, -0.0015910805, 0.13621188, 0.0059107863
0.75889658, 0, 0.46355256, -0.00032665735, 0.014714645, -3.0854632e-05, 0.013788342, -0.0015755583, 0.13405676, 0.0058152104
0.75839658, 0, 0.46441858, -0.00033243638, 0.014672385, -3.0755659e-05, 0.013732765, -0.0015597509, 0.13193464, 0.0057209016
0.75789658, 0, 0.46528461, -0.00033812632, 0.014629638, -3.0651465e-05, 0.013676886, -0.0015436752, 0.12984493, 0.0056278649
0.75739658, 0, 0.46615064, -0.00034372813, 0.014586426, -3.0542179e-05, 0.013620721, -0.0015273471, 0.12778707, 0.0055361017
0.75689658, 0, 0.46701666, -0.0003492428, 0.01454277, -3.0427934e-05, 0.013564283, -0.001510782, 0.12576047, 0.0054456105
0.75639658, 0, 0.46788269, -0.00035467132, 0.01449869, -3.0308862e-05, 0.013507587, -0.0014939945, 0.12376456, 0.0053563864
0.75589658, 0, 0.46874871, -0.00036001466, 0.014454205, -3.0185097e-05, 0.013450647, -0.001476998, 0.12179878, 0.0052684223
0.75539658, 0, 0.46961474, -0.00036527382, 0.014409334, -3.0056772e-05, 0.013393476, -0.0014598057, 0.11986255, 0.0051817083
0.75489658, 0, 0.47048076, -0.00037044977, 0.014364096, -2.9924024e-05, 0.013336087, -0.0014424295, 0.11795532, 0.0050962324
0.75439658, 0, 0.47134679, -0.0003755435, 0.014318507, -2.9786987e-05, 0.013278495, -0.0014248809, 0.11607656, 0.0050119807
0.75389658, 0, 0.47221281, -0.00038055598, 0.014272585, -2.9645796e-05, 0.013220711, -0.0014071705, 0.11422571, 0.0049289374
0.75339658, 0, 0.47307884, -0.00038548816, 0.014226345, -2.9500586e-05, 0.013162748, -0.0013893084, 0.11240224, 0.0048470852
0.75289658, 0, 0.47394486, -0.000390341, 0.014179804, -2.9351494e-05, 0.013104619, -0.0013713037, 0.11060564, 0.0047664052
0.75239658, 0, 0.47481089, -0.00039511543, 0.014132977, -2.9198653e-05, 0.013046336, -0.0013531653, 0.1088354, 0.0046868777
0.75189658, 0, 0.47567691, -0.00039981238, 0.014085877, -2.90422e-05, 0.012987909, -0.0013349011, 0.10709101, 0.0046084817
0.75139658, 0, 0.47654294, -0.00040443276, 0.01403852, -2.8882268e-05, 0.012929352, -0.0013165187, 0.10537198, 0.0045311954
0.75089658, 0, 0.47740897, -0.00040897746, 0.013990917, -2.8718991e-05, 0.012870674, -0.001298025, 0.10367784, 0.0044549964
0.75039658, 0, 0.47827499, -0.00041344736, 0.013943083, -2.8552502e-05, 0.012811887, -0.0012794267, 0.10200811, 0.0043798615
0.74989658, 0, 0.47914102, -0.00041784331, 0.013895029, -2.8382934e-05, 0.012753001, -0.0012607296, 0.10036233, 0.0043057673
0.74939658, 0, 0.48000704, -0.00042216617, 0.013846768, -2.8210418e-05, 0.012694028, -0.0012419397, 0.098740064, 0.0042326902
0.74889658, 0, 0.48087307, -0.00042641676, 0.01379831, -2.8035084e-05, 0.012634976, -0.001223062, 0.097140873, 0.0041606062
0.74839658, 0, 0.48173909, -0.00043059588, 0.013749668, -2.7857063e-05, 0.012575857, -0.0012041018, 0.095564334, 0.0040894914
0.74789658, 0, 0.48260512, -0.00043470433, 0.013700852, -2.767648e-05, 0.012516679, -0.0011850636, 0.094010036, 0.004019322
0.74739658, 0, 0.48347114, -0.00043874287, 0.013651871, -2.7493465e-05, 0.012457451, -0.0011659521, 0.092477577, 0.0039500742
0.74689658, 0, 0.48433717, -0.00044271226, 0.013602736, -2.7308141e-05, 0.012398184, -0.0011467715, 0.090966568, 0.0038817247
0.74639658, 0, 0.48520319, -0.00044661323, 0.013553456, -2.7120633e-05, 0.012338886, -0.0011275261, 0.089476634, 0.0038142503
0.74589658, 0, 0.48606922, -0.00045044649, 0.01350404, -2.6931064e-05, 0.012279566, -0.0011082201, 0.088007407, 0.0037476284
0.74539658, 0, 0.48693524, -0.00045421276, 0.013454498, -2.6739553e-05, 0.012220232, -0.0010888573, 0.086558532, 0.0036818369
0.74489658, 0, 0.48780127, -0.0004579127, 0.013404837, -2.6546219e-05, 0.012160892, -0.001069442, 0.085129666, 0.0036168541
0.74439658, 0, 0.4886673, -0.000461547, 0.013355066, -2.635118e-05, 0.012101555, -0.0010499782, 0.083720476, 0.003552659
0.74389658, 0, 0.48953332, -0.00046511628, 0.013305192, -2.6154551e-05, 0.012042228, -0.0010304699, 0.082330639, 0.0034892315
0.74339658, 0, 0.49039935, -0.0004686212, 0.013255224, -2.5956445e-05, 0.011982918, -0.0010109213, 0.080959844, 0.0034265519
0.74289658, 0, 0.49126537, -0.00047206237, 0.013205168, -2.5756973e-05, 0.011923634, -0.00099133675, 0.079607789, 0.0033646016
0.74239658, 0, 0.4921314, -0.0004754404, 0.013155031, -2.5556243e-05, 0.011864382, -0.00097172059, 0.078274183, 0.0033033626
0.74189658, 0, 0.49299742, -0.00047875588, 0.013104821, -2.5354364e-05, 0.011805169, -0.00095207736, 0.076958745, 0.0032428178
0.74139658, 0, 0.49386345, -0.00048200939, 0.013054544, -2.5151439e-05, 0.011746003, -0.00093241175, 0.075661201, 0.003182951
0.74089658, 0, 0.49472947, -0.00048520151, 0.013004206, -2.4947571e-05, 0.011686889, -0.0009127286, 0.074381291, 0.0031237469
0.74039658, 0, 0.4955955, -0.00048833279, 0.012953813, -2.474286e-05, 0.011627834, -0.00089303293, 0.07311876, 0.0030651912
0.73989658, 0, 0.49646152, -0.00049140379, 0.012903372, -2.4537405e-05, 0.011568845, -0.00087332991, 0.071873364, 0.0030072705
0.73939658, 0, 0.49732755, -0.00049441505, 0.012852888, -2.4331299e-05, 0.011509927, -0.0008536249, 0.070644867, 0.0029499723
0.73889658, 0, 0.49819357, -0.0004973671, 0.012802367, -2.4124638e-05, 0.011451087, -0.00083392343, 0.069433041, 0.0028932849
0.73839658, 0, 0.4990596, -0.00050026046, 0.012751814, -2.3917511e-05, 0.01139233, -0.00081423117, 0.068237666, 0.0028371979
0.73789658, 0, 0.49992563, -0.00050309567, 0.012701235, -2.3710007e-05, 0.011333661, -0.00079455399, 0.067058532, 0.0027817015
0.73739658, 0, 0.50079165, -0.00050587324, 0.012650634, -2.3502212e-05, 0.011275088, -0.00077489786, 0.065895432, 0.0027267869
0.73689658, 0, 0.50165768, -0.00050859367, 0.012600018, -2.329421e-05, 0.011216613, -0.00075526893, 0.064748171, 0.0026724463
0.73639658, 0, 0.5025237, -0.00051125749, 0.01254939, -2.3086083e-05, 0.011158244, -0.00073567346, 0.063616558, 0.0026186726
0.73589658, 0, 0.50338973, -0.00051386519, 0.012498755, -2.2877909e-05, 0.011099984, -0.00071611783, 0.062500409, 0.0025654598
0.73539658, 0, 0.50425575, -0.00051641728, 0.012448118, -2.2669766e-05, 0.011041839, -0.00069660854, 0.061399547, 0.0025128024
0.73489658, 0, 0.50512178, -0.00051891427, 0.012397484, -2.2461727e-05, 0.010983814, -0.00067715219, 0.060313802, 0.0024606961
0.73439658, 0, 0.5059878, -0.00052135665, 0.012346858, -2.2253866e-05, 0.010925912, -0.00065775546, 0.059243008, 0.002409137
0.73389658, 0, 0.50685383, -0.00052374494, 0.012296242, -2.2046252e-05, 0.01086814, -0.00063842514, 0.058187006, 0.0023581222
0.73339658, 0, 0.50771985, -0.00052607963, 0.012245642, -2.1838953e-05, 0.0108105, -0.00061916809, 0.057145641, 0.0023076494
0.73289658, 0, 0.50858588, -0.00052836124, 0.012195062, -2.1632034e-05, 0.010752998, -0.00059999123, 0.056118766, 0.002257717
0.73239658, 0, 0.50945191, -0.00053059027, 0.012144507, -2.142556e-05, 0.010695638, -0.00058090155, 0.055106234, 0.0022083241
0.73189658, 0, 0.51031793, -0.00053276724, 0.012093979, -2.1219592e-05, 0.010638423, -0.00056190613, 0.054107908, 0.0021594706
0.73139658, 0, 0.51118396, -0.00053489267, 0.012043483, -2.1014189e-05, 0.010581357, -0.00054301208, 0.053123651, 0.0021111566
0.73089658, 0, 0.51204998, -0.00053696706, 0.011993023, -2.0809408e-05, 0.010524446, -0.00052422657, 0.052153333, 0.0020633832
0.73039658, 0, 0.51291601, -0.00053899095, 0.011942603, -2.0605306e-05, 0.010467691, -0.00050555682, 0.051196826, 0.0020161518
0.72989658, 0, 0.51378203, -0.00054096487, 0.011892226, -2.0401935e-05, 0.010411098, -0.0004870101, 0.050254007, 0.0019694645
0.72939658, 0, 0.51464806, -0.00054288936, 0.011841897, -2.0199348e-05, 0.010354669, -0.00046859368, 0.049324753, 0.0019233237
0.72889658, 0, 0.51551408, -0.00054476494, 0.011791618, -1.9997594e-05, 0.010298408, -0.0004503149, 0.048408949, 0.0018777324
0.72839658, 0, 0.51638011, -0.00054659218, 0.011741395, -1.979672e-05, 0.010242318, -0.00043218108, 0.047506479, 0.001832694
0.72789658, 0, 0.51724613, -0.00054837163, 0.011691229, -1.9596775e-05, 0.010186403, -0.00041419955, 0.04661723, 0.0017882124
0.72739658, 0, 0.51811216, -0.00055010384, 0.011641126, -1.9397801e-05, 0.010130666, -0.0003963776, 0.045741093, 0.0017442916
0.72689658, 0, 0.51897818, -0.0005517894, 0.011591088, -1.9199841e-05, 0.01007511, -0.00037872252, 0.04487796, 0.001700936
0.72639658, 0, 0.51984421, -0.00055342887, 0.011541118, -1.9002938e-05, 0.010019739, -0.00036124152, 0.044027723, 0.0016581504
0.72589658, 0, 0.52071024, -0.00055502284, 0.011491221, -1.880713e-05, 0.0099645541, -0.00034394172, 0.043190278, 0.0016159396
0.72539658, 0, 0.52157626, -0.0005565719, 0.0114414, -1.8612456e-05, 0.0099095597, -0.00032683016, 0.042365522, 0.0015743088
0.72489658, 0, 0.52244229, -0.00055807665, 0.011391657, -1.8418951e-05, 0.0098547582, -0.00030991374, 0.041553351, 0.001533263
0.72439658, 0, 0.52330831, -0.00055953771, 0.011341998, -1.8226651e-05, 0.0098001523, -0.00029319918, 0.040753664, 0.0014928074
0.72389658, 0, 0.52417434, -0.00056095568, 0.011292424, -1.8035589e-05, 0.0097457449, -0.00027669305, 0.03996636, 0.0014529471
0.72339658, 0, 0.52504036, -0.00056233119, 0.011242939, -1.7845797e-05, 0.0096915385, -0.00026040169, 0.039191338, 0.0014136873
0.72289658, 0, 0.52590639, -0.00056366487, 0.011193546, -1.7657305e-05, 0.0096375357, -0.00024433122, 0.038428499, 0.001375033
0.72239658, 0, 0.52677241, -0.00056495736, 0.011144249, -1.7470144e-05, 0.0095837389, -0.00022848749, 0.037677741, 0.0013369887
